index,timestamp,j1,j2,j3,j4,j5,j6,tag_tx,tag_ty,tag_tz,tag_rx,tag_ry,tag_rz
1,20260811_225129_748,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
2,20260811_225130_261,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
3,20260811_225130_773,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
4,20260811_225131_371,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
5,20260811_225131_874,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
6,20260811_225132_473,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
7,20260811_225132_973,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
8,20260811_225133_473,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
9,20260811_225134_072,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
10,20260811_225134_673,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
11,20260811_225135_270,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
12,20260811_225135_772,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.0028696545442400394,-0.059386745136548805,0.7004762875818218,-0.9384578972428113,2.8282948812438806,0.3895576562428775
13,20260811_225136_273,0.1261349450416302,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.002899532738209121,-0.059561483069192615,0.6986781503565856,-0.9382209181213585,2.826746410628152,0.3740472334737887
14,20260811_225136_972,0.2976833572201529,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.1089310943817389,0.023865064038930857,0.7070361682771068,0.9808233223048684,-2.888864464428039,-0.35189847151160847
15,20260811_225137_473,0.3256260785445821,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.13142112406677525,0.04285636399835238,0.7043543653513187,0.9987256846063909,-2.882548109642157,-0.33824402888989086
16,20260811_225137_974,0.2431243648028101,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.09177901874519019,0.012183146998744641,0.6956112803748893,1.012074769378089,-2.916165124886556,-0.5492075262520603
17,20260811_225138_571,0.21230185021259024,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.05890116750403303,-0.01665252850161611,0.707553857181595,1.0263324516639805,-3.0387356309142755,-0.3501881464429353
18,20260811_225139_072,0.21230185021259024,0.44148103429196567,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.05782596433652714,-0.016692921963628458,0.7060174700383538,-0.9874914097815892,2.911278280736612,0.427567017996938
19,20260811_225139_575,0.21230185021259024,0.5300564938306779,-0.369957441545238,0.4809603819720774,0.02035053907825388,-0.10257300013970674,0.07289247080771417,-0.03350686054955522,0.6918536300504186,1.0003879649949328,-2.9951055935111928,-0.5706420475531838
20,20260811_225208_271,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.02796017461694916,-0.8376533212021585,-0.10257300013970674,0.145209773767332,-0.07292034031277174,0.4931253450737792,-1.5363791188261207,2.56361420912751,0.48695951980988095
21,20260811_225208_775,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.12203342129944353,-0.8376533212021585,-0.10257300013970674,0.17589616412015055,0.020126902838291955,0.5104532154574841,1.753946600989818,-2.560186591284242,-0.45625967896462327
22,20260811_225211_675,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06370451769779303,-0.8376533212021585,-0.10257300013970674,0.1743636588379187,0.012966667880939779,0.5117074662213945,1.7390011171190884,-2.5440011115109438,-0.5174170960386072
23,20260811_225212_575,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.04735078260660616,-0.8376533212021585,-0.10257300013970674,0.1483178905193324,-0.06757682674766867,0.4969709172403391,-1.555855630430042,2.573363320602051,0.5240418609152195
24,20260811_225213_173,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.02621484536495483,-0.8376533212021585,-0.10257300013970674,0.15245629386661053,-0.05575178077726651,0.49893586283343444,-1.564948764517093,2.5489785220615575,0.5747729631809314
25,20260811_225213_773,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.02796017461694916,-0.8376533212021585,-0.10257300013970674,0.15245629386661053,-0.05575178077726651,0.49893586283343444,-1.564948764517093,2.5489785220615575,0.5747729631809314
26,20260811_225214_372,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.02796017461694916,-0.8376533212021585,-0.10257300013970674,0.152512815797147,-0.05661483085948979,0.499644500170776,-1.5746200582954109,2.5627403158240036,0.5452035245400071
27,20260811_225215_672,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.02796017461694916,-0.8457341956388923,-0.10257300013970674,0.1540557194522646,-0.057223942264557,0.49490731387574527,-1.5415166372512155,2.5225780428925977,0.6159591333934018
28,20260811_225216_271,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.02796017461694916,-0.9608212065153984,-0.10257300013970674,0.09326600400588834,-0.0318804390886681,0.5069648875967536,-1.5079621814548407,2.4957933358651165,0.4335582122137966
29,20260811_225216_773,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.02796017461694916,-1.0095158926460401,-0.10257300013970674,0.054036797086807246,-0.014717463510251478,0.5264642851943638,-1.5164416043947553,2.5442215636836645,0.2906926942566848
30,20260811_225217_372,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.02796017461694916,-1.0248224301860305,-0.10257300013970674,0.04956348138333889,-0.011960334078222744,0.5242604745127429,-1.5025700447668835,2.5058895940769323,0.27504231325514017
31,20260811_225217_872,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.02796017461694916,-1.0248224301860305,-0.10257300013970674,0.0483355167897989,-0.012353163918588553,0.5264158742133852,-1.5049877528997029,2.5343662934898274,0.2708857767241697
32,20260811_225218_471,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.07454301235267781,-1.0248224301860305,-0.10257300013970674,0.045133281784295626,-0.018527739769570485,0.5251796685024739,-1.484161396840931,2.5250046564851183,0.32526612454926895
33,20260811_225219_371,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.09234537072301999,-1.0248224301860305,-0.10257300013970674,0.030257263574376293,-0.05264965221231576,0.5133595809657162,-1.4060952885012559,2.538139179589567,0.24577447431187804
34,20260811_225219_871,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.0248224301860305,-0.10257300013970674,0.06590397779420913,0.03772448283369364,0.5333902196730427,-1.6203589237674112,2.553046853286822,0.24342939395767385
35,20260811_225220_471,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.0248224301860305,-0.10257300013970674,0.06534914665625371,0.035202258142001244,0.5335192224314312,-1.6192681154595512,2.5558393440009435,0.21311849853772322
36,20260811_225221_072,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.0248224301860305,-0.36451201427901575,0.030569353259177288,0.03627273169630366,0.5316013897607375,-1.8513572615928602,2.2751293218615563,0.18090404744695943
37,20260811_225221_575,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.0248224301860305,-0.2624800662074272,0.03556153030405315,0.03616314760225813,0.5338896467519557,-1.8335177346860507,2.348358178173837,0.23258384452401448
38,20260811_225222_174,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.0248224301860305,0.5043827005338413,0.13682021664888058,0.004873953129002783,0.5230265454053477,0.8800598396632539,-2.969941828373639,-0.39687205578639084
39,20260811_225222_773,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.0248224301860305,1.0427120550189724,0.18128485652553158,-0.0591541706296987,0.49970336543884963,0.04691117380056159,-2.968473054252525,-0.34578779436485574
40,20260811_225223_374,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.0248224301860305,1.052032113224622,0.18116117671380452,-0.06232592521696616,0.4954428826284422,0.0035254832512503958,-2.967188493858111,-0.37410295748268646
41,20260811_225223_973,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.0248224301860305,1.052032113224622,0.1810453831701587,-0.062200773493619015,0.49527860520507155,0.009754446079458537,-2.9621648817739974,-0.3551217624788786
42,20260811_225224_571,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.002517122345543,1.052032113224622,0.18228719921693243,-0.06461371879342453,0.4984759566926986,0.007786172002748624,-2.944122839001626,-0.3650368660217982
43,20260811_225225_571,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.0902897304283377,1.052032113224622,0.17760220939948468,-0.033913554789343124,0.4880110493249554,0.01123842834969608,-3.089089076053609,-0.2181576870893831
44,20260811_225226_072,0.21230185021259024,1.4779099040037584,-0.43371431912059094,-0.06709045644666202,-1.1256675543662626,1.052032113224622,0.18134050758828596,-0.009911935596822906,0.5037298637730802,-0.00266215530990022,-2.99755489936606,-0.23073992956869852
45,20260811_225229_475,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.18999654237210273,-1.222830033824787,1.052032113224622,0.07373949710516653,0.053356221635870726,0.5264848891945745,-0.19947728520166558,-3.155664898659572,-0.17751911818800506
46,20260811_225230_074,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.14508922071828861,-1.222830033824787,1.052032113224622,0.06018087712020421,0.054442013608262674,0.5360442319442681,0.2867405491453866,3.229498907558864,0.10184062509897046
47,20260811_225230_575,0.21230185021259024,1.4779099040037584,-0.43371431912059094,0.14124949636390108,-1.222830033824787,1.052032113224622,0.075931825995305,0.05344019600033749,0.5358361665368593,0.20847093963598123,3.1314918162862098,2.7468624585354547e-06
