recv_time_sec,source,session,vx,vy,wz
1783437840.8490448,odom,0,0.0,0.0,0.0
1783437840.9269543,odom,0,0.0,0.0,0.0
1783437841.0245175,odom,0,0.0,0.0,0.0
1783437841.1289222,odom,0,0.0,0.0,0.0
1783437841.2306917,odom,0,0.0,0.0,0.0
1783437841.322742,odom,0,0.0,0.0,0.0
1783437841.4236856,odom,0,0.0,0.0,0.0
1783437841.5275958,odom,0,0.0,0.0,0.0
1783437841.62662,odom,0,0.0,0.0,0.0
1783437841.7252758,odom,0,0.0,0.0,0.0
1783437841.8250275,odom,0,0.0,0.0,0.0
1783437841.9245224,odom,0,0.0,0.0,0.0
1783437842.031305,odom,0,0.0,0.0,0.0
1783437842.1230369,odom,0,0.0,0.0,0.0
1783437842.2241418,odom,0,0.0,0.0,0.0
1783437842.329046,odom,0,0.0,0.0,0.0
1783437842.428929,odom,0,0.0,0.0,0.0
1783437842.5417676,odom,0,0.0,0.0,0.0
1783437842.6263251,odom,0,0.0,0.0,0.0
1783437842.737064,odom,0,0.0,0.0,0.0
1783437842.8256366,odom,0,0.0,0.0,0.0
1783437842.930467,odom,0,0.0,0.0,0.0
1783437843.021566,odom,0,0.0,0.0,0.0
1783437843.1315818,odom,0,0.0,0.0,0.0
1783437843.223368,odom,0,0.0,0.0,0.0
1783437843.3227913,odom,0,0.0,0.0,0.0
1783437843.4246004,odom,0,0.0,0.0,0.0
1783437843.5291765,odom,0,0.0,0.0,0.0
1783437843.6279838,odom,0,0.0,0.0,0.0
1783437843.723226,odom,0,0.0,0.0,0.0
1783437843.8312178,odom,0,0.0,0.0,0.0
1783437843.897038,cmd,0,0.06666666666666667,-0.02794163347335375,0.0
1783437843.9291992,cmd,0,0.13333333333333333,-0.06661155094506087,0.0
1783437843.9295528,odom,0,0.0,0.0,0.0
1783437843.9614372,cmd,0,0.15630023181438446,-0.07993347197771072,0.0
1783437843.9937577,cmd,0,0.2229668984810511,-0.12288444662313748,0.1102001082360987
1783437844.0280976,cmd,0,0.2817689776420593,-0.16227467358112335,0.10858295112848282
1783437844.0285888,odom,0,0.0,0.0,0.0
1783437844.0593429,cmd,0,0.2817689776420593,-0.16227467358112335,0.10858295112848282
1783437844.0927594,cmd,0,0.32675689458847046,-0.19225996732711792,0.0
1783437844.126672,cmd,0,0.36125242710113525,-0.2143714874982834,0.0
1783437844.131919,odom,0,0.0,0.0,0.0
1783437844.159974,cmd,0,0.36125242710113525,-0.2143714874982834,0.0
1783437844.191916,cmd,0,0.386827290058136,-0.23187994956970215,0.0
1783437844.2262244,odom,0,0.0,0.0,0.0
1783437844.2300143,cmd,0,0.40571749210357666,-0.24515500664710999,0.0
1783437844.2576923,cmd,0,0.40571749210357666,-0.24515500664710999,0.0
1783437844.2913163,cmd,0,0.41869136691093445,-0.2558794319629669,0.0
1783437844.3240218,cmd,0,0.42793288826942444,-0.26367270946502686,0.0
1783437844.3262227,odom,0,0.0,0.0,0.0
1783437844.3615716,cmd,0,0.42793288826942444,-0.26367270946502686,0.0
1783437844.3897347,cmd,0,0.4338639974594116,-0.26950329542160034,0.0
1783437844.4228723,cmd,0,0.43850982189178467,-0.27338629961013794,-0.10191881656646729
1783437844.4305377,odom,0,0.0,0.0,0.0
1783437844.4562368,cmd,0,0.43850982189178467,-0.27338629961013794,-0.10191881656646729
1783437844.4899251,cmd,0,0.4415827989578247,-0.27493029832839966,-0.10275716334581375
1783437844.5213456,cmd,0,0.44414207339286804,-0.2758761942386627,-0.10212956368923187
1783437844.5223107,odom,0,0.0,0.0,0.0
1783437844.5542643,cmd,0,0.44414207339286804,-0.2758761942386627,-0.10212956368923187
1783437844.5885825,cmd,0,0.44387635588645935,-0.2757067382335663,0.0
1783437844.6201386,cmd,0,0.4435691237449646,-0.275065153837204,0.0
1783437844.6232262,odom,0,0.0,0.0,0.0
1783437844.6526644,cmd,0,0.4435691237449646,-0.275065153837204,0.0
1783437844.6862917,cmd,0,0.44031423330307007,-0.2699636220932007,0.0
1783437844.7188687,cmd,0,0.43812379240989685,-0.2650655210018158,0.0
1783437844.7267954,odom,0,0.0,0.0,0.0
1783437844.752023,cmd,0,0.43812379240989685,-0.2650655210018158,0.0
1783437844.7928712,cmd,0,0.4307733476161957,-0.257785439491272,0.0
1783437844.8244023,cmd,0,0.426374226808548,-0.25112608075141907,0.0
1783437844.8250322,odom,0,0.0,0.0,0.0
1783437844.8520143,cmd,0,0.426374226808548,-0.25112608075141907,0.0
1783437844.8846169,cmd,0,0.4146858751773834,-0.24187615513801575,0.0
1783437844.9200878,cmd,0,0.4146858751773834,-0.24187615513801575,0.0
1783437844.9414804,odom,0,0.0,0.0,0.0
1783437844.953269,cmd,0,0.4080042243003845,-0.23348866403102875,0.0
1783437844.98329,cmd,0,0.39569583535194397,-0.22474181652069092,0.0
1783437845.0167358,cmd,0,0.39569583535194397,-0.22474181652069092,0.0
1783437845.0276716,odom,0,0.0,0.0,0.0
1783437845.0486987,cmd,0,0.3886324167251587,-0.2173963040113449,0.0
1783437845.0815363,cmd,0,0.3753494322299957,-0.2070736438035965,0.0
1783437845.1148388,cmd,0,0.3753494322299957,-0.2070736438035965,0.0
1783437845.1286032,odom,0,0.0,0.0,0.0
1783437845.1498535,cmd,0,0.3687395751476288,-0.19955742359161377,0.0
1783437845.1812272,cmd,0,0.35577380657196045,-0.1901288628578186,0.0
1783437845.2138085,cmd,0,0.35577380657196045,-0.1901288628578186,0.0
1783437845.2307422,odom,0,0.0,0.0,0.0
1783437845.2467942,cmd,0,0.34929990768432617,-0.18391826748847961,0.0
1783437845.2810555,cmd,0,0.33081301894383924,-0.15867371433577082,-0.22122605194648107
1783437845.3128586,cmd,0,0.3282264471054077,-0.1551416516304016,-0.239881232380867
1783437845.320922,odom,0,0.0,0.0,0.0
1783437845.3482258,cmd,0,0.3203607201576233,-0.15476718544960022,-0.30601444840431213
1783437845.38041,cmd,0,0.3125264644622803,-0.152426615357399,-0.3527792990207672
1783437845.4118335,cmd,0,0.3125264644622803,-0.152426615357399,-0.3527792990207672
1783437845.4234102,odom,0,0.0,0.0,0.0
1783437845.4447627,cmd,0,0.3118218183517456,-0.15627539157867432,-0.38209086656570435
1783437845.477854,cmd,0,0.3025270700454712,-0.14872410893440247,-0.4045103192329407
1783437845.5134058,cmd,0,0.3025270700454712,-0.14872410893440247,-0.4045103192329407
1783437845.5312982,odom,0,0.0,0.0,0.0
