recv_time_sec,source,session,vx,vy,wz
1783437193.8505406,cmd,0,0.0,0.0,0.0
1783437193.9132435,cmd,0,0.0,0.0,0.0
1783437193.9276,odom,0,0.0,0.0,0.0
1783437194.0135362,cmd,0,0.0,0.0,0.0
1783437194.025884,odom,0,0.0,0.0,0.0
1783437194.1484075,cmd,0,0.0,0.0,0.0
1783437194.149105,odom,0,0.0,0.0,0.0
1783437194.2155144,cmd,0,0.0,0.0,0.0
1783437194.2327266,odom,0,0.0,0.0,0.0
1783437194.3157496,cmd,0,0.0,0.0,0.0
1783437194.345362,odom,0,0.0,0.0,0.0
1783437194.412016,cmd,0,0.0,0.0,0.0
1783437194.4277747,odom,0,0.0,0.0,0.0
1783437194.5192213,cmd,0,0.0,0.0,0.0
1783437194.5292528,odom,0,0.0,0.0,0.0
1783437194.6130219,cmd,0,0.0,0.0,0.0
1783437194.6339178,odom,0,0.0,0.0,0.0
1783437194.7124236,cmd,0,0.0,0.0,0.0
1783437194.727012,odom,0,0.0,0.0,0.0
1783437194.812134,cmd,0,0.0,0.0,0.0
1783437194.8253603,odom,0,0.0,0.0,0.0
1783437194.912843,cmd,0,0.0,0.0,0.0
1783437194.9214563,odom,0,0.0,0.0,0.0
1783437195.0148296,cmd,0,0.0,0.0,0.0
1783437195.0214055,odom,0,0.0,0.0,0.0
1783437195.1150825,cmd,0,0.0,0.0,0.0
1783437195.128282,odom,0,0.0,0.0,0.0
1783437195.2104616,cmd,0,0.0,0.0,0.0
1783437195.2365808,odom,0,0.0,0.0,0.0
1783437195.314135,cmd,0,0.0,0.0,0.0
1783437195.3314588,odom,0,0.0,0.0,0.0
1783437195.4158778,cmd,0,0.0,0.0,0.0
1783437195.4262972,odom,0,0.0,0.0,0.0
1783437195.5172813,cmd,0,0.0,0.0,0.0
1783437195.52944,odom,0,0.0,0.0,0.0
1783437195.6113174,cmd,0,0.0,0.0,0.0
1783437195.6247838,odom,0,0.0,0.0,0.0
1783437195.7110016,cmd,0,0.0,0.0,0.0
1783437195.7223642,odom,0,0.0,0.0,0.0
1783437195.8109798,cmd,0,0.0,0.0,0.0
1783437195.8221152,odom,0,0.0,0.0,0.0
1783437195.911082,cmd,0,0.0,0.0,0.0
1783437195.9259021,odom,0,0.0,0.0,0.0
1783437196.0117626,cmd,0,0.0,0.0,0.0
1783437196.0294297,odom,0,0.0,0.0,0.0
1783437196.1111794,cmd,0,0.0,0.0,0.0
1783437196.1300273,odom,0,0.0,0.0,0.0
1783437196.2129881,cmd,0,0.0,0.0,0.0
1783437196.2297776,odom,0,0.0,0.0,0.0
1783437196.3115158,cmd,0,0.0,0.0,0.0
1783437196.3401475,odom,0,0.0,0.0,0.0
1783437196.4110143,cmd,0,0.0,0.0,0.0
1783437196.4291885,odom,0,0.0,0.0,0.0
1783437196.5110903,cmd,0,0.0,0.0,0.0
1783437196.5223272,odom,0,0.0,0.0,0.0
1783437196.613041,cmd,0,0.0,0.0,0.0
1783437196.6227574,odom,0,0.0,0.0,0.0
1783437196.7117684,cmd,0,0.0,0.0,0.0
1783437196.7355437,odom,0,0.0,0.0,0.0
1783437196.8130777,cmd,0,0.0,0.0,0.0
1783437196.8373117,odom,0,0.0,0.0,0.0
1783437196.9134712,cmd,0,0.0,0.0,0.0
1783437196.9329977,odom,0,0.0,0.0,0.0
1783437197.0109522,cmd,0,0.0,0.0,0.0
1783437197.026367,odom,0,0.0,0.0,0.0
1783437197.1106954,cmd,0,0.0,0.0,0.0
1783437197.1339192,odom,0,0.0,0.0,0.0
1783437197.2105684,cmd,0,0.0,0.0,0.0
1783437197.222815,odom,0,0.0,0.0,0.0
1783437197.3102193,cmd,0,0.0,0.0,0.0
1783437197.330305,odom,0,0.0,0.0,0.0
1783437197.4101715,cmd,0,0.0,0.0,0.0
1783437197.4223099,odom,0,0.0,0.0,0.0
1783437197.5103362,cmd,0,0.0,0.0,0.0
1783437197.5339408,odom,0,0.0,0.0,0.0
1783437197.611923,cmd,0,0.0,0.0,0.0
1783437197.623724,odom,0,0.0,0.0,0.0
1783437197.710341,cmd,0,0.0,0.0,0.0
1783437197.7304428,odom,0,0.0,0.0,0.0
1783437197.8140388,cmd,0,0.0,0.0,0.0
1783437197.830585,odom,0,0.0,0.0,0.0
1783437197.9147456,cmd,0,0.0,0.0,0.0
1783437197.929225,odom,0,0.0,0.0,0.0
1783437198.0105267,cmd,0,0.0,0.0,0.0
1783437198.0247364,odom,0,0.0,0.0,0.0
1783437198.1110952,cmd,0,0.0,0.0,0.0
1783437198.1238134,odom,0,0.0,0.0,0.0
1783437198.2104187,cmd,0,0.0,0.0,0.0
1783437198.2221708,odom,0,0.0,0.0,0.0
1783437198.3105438,cmd,0,0.0,0.0,0.0
1783437198.332976,odom,0,0.0,0.0,0.0
1783437198.4118907,cmd,0,0.0,0.0,0.0
1783437198.4272394,odom,0,0.0,0.0,0.0
1783437198.5102808,cmd,0,0.0,0.0,0.0
1783437198.5218632,odom,0,0.0,0.0,0.0
1783437198.6109157,cmd,0,0.0,0.0,0.0
1783437198.6263766,odom,0,0.0,0.0,0.0
1783437198.7121449,cmd,0,0.0,0.0,0.0
1783437198.7247727,odom,0,0.0,0.0,0.0
1783437198.8105528,cmd,0,0.0,0.0,0.0
1783437198.830365,odom,0,0.0,0.0,0.0
1783437198.9107506,cmd,0,0.0,0.0,0.0
1783437198.917323,odom,0,0.0,0.0,0.0
1783437199.0102942,cmd,0,0.0,0.0,0.0
1783437199.0179756,odom,0,0.0,0.0,0.0
1783437199.110246,cmd,0,0.0,0.0,0.0
1783437199.1226778,odom,0,0.0,0.0,0.0
1783437199.210182,cmd,0,0.0,0.0,0.0
1783437199.222009,odom,0,0.0,0.0,0.0
1783437199.3111904,cmd,0,0.0,0.0,0.0
1783437199.3177223,cmd,0,0.6,0.0,0.0
1783437199.3195024,odom,0,0.0,0.0,0.0
1783437199.4120314,cmd,0,0.6,0.0,0.0
1783437199.4254405,odom,0,0.0,0.0,0.0
1783437199.5112057,cmd,0,0.6,0.0,0.0
1783437199.5227716,odom,0,0.0,0.0,0.0
1783437199.6123915,cmd,0,0.6,0.0,0.0
1783437199.6301105,odom,0,0.0,0.0,0.0
1783437199.7102702,cmd,0,0.6,0.0,0.0
1783437199.7186742,odom,0,0.0,0.0,0.0
1783437199.810202,cmd,0,0.6,0.0,0.0
1783437199.8191361,odom,0,0.0,0.0,0.0
1783437199.910205,cmd,0,0.6,0.0,0.0
1783437199.923483,odom,0,0.0,0.0,0.0
1783437200.0101058,cmd,0,0.6,0.0,0.0
1783437200.024785,odom,0,0.0,0.0,0.0
1783437200.1102161,cmd,0,0.6,0.0,0.0
1783437200.1197455,odom,0,0.0,0.0,0.0
1783437200.211567,cmd,0,0.6,0.0,0.0
1783437200.2234478,odom,0,0.0,0.0,0.0
1783437200.311343,cmd,0,0.6,0.0,0.0
1783437200.3341136,odom,0,0.0,0.0,0.0
1783437200.4104726,cmd,0,0.6,0.0,0.0
1783437200.4230952,odom,0,0.0,0.0,0.0
1783437200.510416,cmd,0,0.6,0.0,0.0
1783437200.5218909,odom,0,0.0,0.0,0.0
1783437200.6131659,cmd,0,0.6,0.0,0.0
1783437200.6207623,odom,0,0.0,0.0,0.0
1783437200.7106993,cmd,0,0.6,0.0,0.0
1783437200.7297654,odom,0,0.0,0.0,0.0
1783437200.8111234,cmd,0,0.6,0.0,0.0
1783437200.8256369,odom,0,0.0,0.0,0.0
1783437200.9117208,cmd,0,0.6,0.0,0.0
1783437200.923725,odom,0,0.0,0.0,0.0
1783437201.0124934,cmd,0,0.6,0.0,0.0
1783437201.0267146,odom,0,0.0,0.0,0.0
1783437201.1117327,cmd,0,0.6,0.0,0.0
1783437201.1251156,odom,0,0.0,0.0,0.0
1783437201.211036,cmd,0,0.6,0.0,0.0
1783437201.2240944,odom,0,0.0,0.0,0.0
1783437201.310488,cmd,0,0.6,0.0,0.0
1783437201.322738,odom,0,0.0,0.0,0.0
1783437201.4121385,cmd,0,0.6,0.0,0.0
1783437201.4207876,odom,0,0.0,0.0,0.0
1783437201.5135033,cmd,0,0.6,0.0,0.0
1783437201.5346105,odom,0,0.0,0.0,0.0
1783437201.6105433,cmd,0,0.6,0.0,0.0
1783437201.627295,odom,0,0.0,0.0,0.0
1783437201.710755,cmd,0,0.6,0.0,0.0
1783437201.7226875,odom,0,0.0,0.0,0.0
1783437201.8124096,cmd,0,0.6,0.0,0.0
1783437201.8257334,odom,0,0.0,0.0,0.0
1783437201.911527,cmd,0,0.6,0.0,0.0
1783437201.935316,odom,0,0.0,0.0,0.0
1783437202.0001786,cmd,0,0.0,0.0,0.0
1783437202.0100317,cmd,0,0.0,0.0,0.0
1783437202.0235963,odom,0,0.0,0.0,0.0
1783437202.1104991,cmd,0,0.0,0.0,0.0
1783437202.1255062,odom,0,0.0,0.0,0.0
1783437202.210255,cmd,0,0.0,0.0,0.0
1783437202.2226675,odom,0,0.0,0.0,0.0
1783437202.3106892,cmd,0,0.0,0.0,0.0
1783437202.3330104,odom,0,0.0,0.0,0.0
1783437202.4101522,cmd,0,0.0,0.0,0.0
1783437202.4259377,odom,0,0.0,0.0,0.0
1783437202.51051,cmd,0,0.0,0.0,0.0
1783437202.530842,odom,0,0.0,0.0,0.0
1783437202.6108778,cmd,0,0.0,0.0,0.0
1783437202.6257403,odom,0,0.0,0.0,0.0
1783437202.7128644,cmd,0,0.0,0.0,0.0
1783437202.7468793,odom,0,0.0,0.0,0.0
1783437202.8109443,cmd,0,0.0,0.0,0.0
1783437202.8281415,odom,0,0.0,0.0,0.0
1783437202.9109685,cmd,0,0.0,0.0,0.0
1783437202.933755,odom,0,0.0,0.0,0.0
1783437203.0102744,cmd,0,0.0,0.0,0.0
1783437203.0223718,odom,0,0.0,0.0,0.0
1783437203.0803049,cmd,0,0.0,0.6,0.0
