recv_time_sec,source,session,vx,vy,wz
1783437326.528609,odom,0,0.0,0.0,0.0
1783437326.6338048,odom,0,0.0,0.0,0.0
1783437326.7375803,odom,0,0.0,0.0,0.0
1783437326.8333943,odom,0,0.0,0.0,0.0
1783437326.930287,odom,0,0.0,0.0,0.0
1783437327.033092,odom,0,0.0,0.0,0.0
1783437327.1297338,odom,0,0.0,0.0,0.0
1783437327.2300863,odom,0,0.0,0.0,0.0
1783437327.331393,odom,0,0.0,0.0,0.0
1783437327.4361494,odom,0,0.0,0.0,0.0
1783437327.531448,odom,0,0.0,0.0,0.0
1783437327.6224222,odom,0,0.0,0.0,0.0
1783437327.7219434,odom,0,0.0,0.0,0.0
1783437327.8204792,odom,0,0.0,0.0,0.0
1783437327.9248035,odom,0,0.0,0.0,0.0
1783437328.0222979,odom,0,0.0,0.0,0.0
1783437328.1333404,odom,0,0.0,0.0,0.0
1783437328.2304265,odom,0,0.0,0.0,0.0
1783437328.324834,odom,0,0.0,0.0,0.0
1783437328.42372,odom,0,0.0,0.0,0.0
1783437328.5254998,odom,0,0.0,0.0,0.0
1783437328.6244307,odom,0,0.0,0.0,0.0
1783437328.72737,odom,0,0.0,0.0,0.0
1783437328.8308318,odom,0,0.0,0.0,0.0
1783437328.9274123,odom,0,0.0,0.0,0.0
1783437329.0272799,odom,0,0.0,0.0,0.0
1783437329.1300998,odom,0,0.0,0.0,0.0
1783437329.2267966,odom,0,0.0,0.0,0.0
1783437329.3245854,odom,0,0.0,0.0,0.0
1783437329.4273438,odom,0,0.0,0.0,0.0
1783437329.5270193,odom,0,0.0,0.0,0.0
1783437329.627635,odom,0,0.0,0.0,0.0
1783437329.7284737,odom,0,0.0,0.0,0.0
1783437329.8290348,odom,0,0.0,0.0,0.0
1783437329.9304795,odom,0,0.0,0.0,0.0
1783437330.0248225,odom,0,0.0,0.0,0.0
1783437330.127534,odom,0,0.0,0.0,0.0
1783437330.2301173,odom,0,0.0,0.0,0.0
1783437330.3310616,odom,0,0.0,0.0,0.0
1783437330.4248624,odom,0,0.0,0.0,0.0
1783437330.5301914,odom,0,0.0,0.0,0.0
1783437330.629077,odom,0,0.0,0.0,0.0
1783437330.7303443,odom,0,0.0,0.0,0.0
1783437330.8237927,odom,0,0.0,0.0,0.0
1783437330.9250455,odom,0,0.0,0.0,0.0
1783437331.0283446,odom,0,0.0,0.0,0.0
1783437331.131131,odom,0,0.0,0.0,0.0
1783437331.226224,odom,0,0.0,0.0,0.0
1783437331.3352551,odom,0,0.0,0.0,0.0
1783437331.4279344,odom,0,0.0,0.0,0.0
1783437331.536863,odom,0,0.0,0.0,0.0
1783437331.6360404,odom,0,0.0,0.0,0.0
1783437331.7356603,odom,0,0.0,0.0,0.0
1783437331.8217335,odom,0,0.0,0.0,0.0
1783437331.9322057,odom,0,0.0,0.0,0.0
1783437332.0285313,odom,0,0.0,0.0,0.0
1783437332.0625105,cmd,0,0.0,0.0,0.0
1783437332.131686,odom,0,0.0,0.0,0.0
1783437332.1627738,cmd,0,0.0,0.0,0.0
1783437332.2268188,odom,0,0.0,0.0,0.0
1783437332.2626336,cmd,0,0.0,0.0,0.0
1783437332.3350182,odom,0,0.0,0.0,0.0
1783437332.3621492,cmd,0,0.0,0.0,0.0
1783437332.4259574,odom,0,0.0,0.0,0.0
1783437332.46172,cmd,0,0.0,0.0,0.0
1783437332.5269878,odom,0,0.0,0.0,0.0
1783437332.5635278,cmd,0,0.0,0.0,0.0
1783437332.6292975,odom,0,0.0,0.0,0.0
1783437332.6634724,cmd,0,0.0,0.0,0.0
1783437332.7300682,odom,0,0.0,0.0,0.0
1783437332.762066,cmd,0,0.0,0.0,0.0
1783437332.8248847,odom,0,0.0,0.0,0.0
1783437332.8623629,cmd,0,0.0,0.0,0.0
1783437332.9284618,odom,0,0.0,0.0,0.0
1783437332.9624634,cmd,0,0.0,0.0,0.0
1783437333.0235972,odom,0,0.0,0.0,0.0
1783437333.0624535,cmd,0,0.0,0.0,0.0
1783437333.1274521,odom,0,0.0,0.0,0.0
1783437333.1630392,cmd,0,0.0,0.0,0.0
1783437333.2230659,odom,0,0.0,0.0,0.0
1783437333.262141,cmd,0,0.0,0.0,0.0
1783437333.3576784,odom,0,0.0,0.0,0.0
1783437333.362152,cmd,0,0.0,0.0,0.0
1783437333.4301672,odom,0,0.0,0.0,0.0
1783437333.4629023,cmd,0,0.0,0.0,0.0
1783437333.531948,odom,0,0.0,0.0,0.0
1783437333.5635476,cmd,0,0.0,0.0,0.0
1783437333.6277719,odom,0,0.0,0.0,0.0
1783437333.6622133,cmd,0,0.0,0.0,0.0
1783437333.6781743,cmd,0,0.6,0.0,0.0
1783437333.7331278,odom,0,0.0,0.0,0.0
1783437333.7620416,cmd,0,0.6,0.0,0.0
1783437333.8290124,odom,0,0.0,0.0,0.0
1783437333.8615668,cmd,0,0.6,0.0,0.0
1783437333.9346704,odom,0,0.0,0.0,0.0
1783437333.961771,cmd,0,0.6,0.0,0.0
1783437334.001866,cmd,0,0.0,0.0,0.0
1783437334.0244453,odom,0,0.0,0.0,0.0
1783437334.0630746,cmd,0,0.0,0.0,0.0
1783437334.1250286,odom,0,0.0,0.0,0.0
1783437334.1634262,cmd,0,0.0,0.0,0.0
1783437334.2230198,odom,0,0.0,0.0,0.0
1783437334.2661283,cmd,0,0.0,0.0,0.0
1783437334.3388243,odom,0,0.0,0.0,0.0
1783437334.3663445,cmd,0,0.0,0.0,0.0
1783437334.4256005,odom,0,0.0,0.0,0.0
1783437334.4633467,cmd,0,0.0,0.0,0.0
1783437334.5234113,odom,0,0.0,0.0,0.0
1783437334.5631099,cmd,0,0.0,0.0,0.0
1783437334.6281357,odom,0,0.0,0.0,0.0
1783437334.6628191,cmd,0,0.0,0.0,0.0
1783437334.728065,odom,0,0.0,0.0,0.0
1783437334.7629726,cmd,0,0.0,0.0,0.0
1783437334.8270698,odom,0,0.0,0.0,0.0
1783437334.8656054,cmd,0,0.0,0.0,0.0
1783437334.9246619,odom,0,0.0,0.0,0.0
1783437334.9643955,cmd,0,0.0,0.0,0.0
1783437335.0229273,odom,0,0.0,0.0,0.0
1783437335.0630922,cmd,0,0.0,0.0,0.0
1783437335.1305237,odom,0,0.0,0.0,0.0
1783437335.1668918,cmd,0,0.0,0.0,0.0
1783437335.2263618,odom,0,0.0,0.0,0.0
1783437335.2625437,cmd,0,0.0,0.0,0.0
1783437335.323924,odom,0,0.0,0.0,0.0
1783437335.3626506,cmd,0,0.0,0.0,0.0
1783437335.4291584,odom,0,0.0,0.0,0.0
1783437335.4618118,cmd,0,0.0,0.0,0.0
1783437335.5351083,odom,0,0.0,0.0,0.0
1783437335.5632358,cmd,0,0.0,0.0,0.0
1783437335.6242323,odom,0,0.0,0.0,0.0
1783437335.6641772,cmd,0,0.0,0.0,0.0
1783437335.72389,odom,0,0.0,0.0,0.0
1783437335.7659855,cmd,0,0.0,0.0,0.0
1783437335.8249433,odom,0,0.0,0.0,0.0
1783437335.8635519,cmd,0,0.0,0.0,0.0
1783437335.9340782,odom,0,0.0,0.0,0.0
1783437335.9646075,cmd,0,0.0,0.0,0.0
1783437336.0216007,cmd,0,-0.6,0.0,0.0
1783437336.0238438,odom,0,0.0,0.0,0.0
1783437336.0660462,cmd,0,-0.6,0.0,0.0
1783437336.1295047,odom,0,0.0,0.0,0.0
1783437336.1401753,cmd,0,0.0,0.0,0.0
1783437336.1620224,cmd,0,0.0,0.0,0.0
1783437336.2411325,odom,0,0.0,0.0,0.0
1783437336.2650988,cmd,0,0.0,0.0,0.0
1783437336.3267853,odom,0,0.0,0.0,0.0
1783437336.3642573,cmd,0,0.0,0.0,0.0
1783437336.4228609,odom,0,0.0,0.0,0.0
1783437336.4639316,cmd,0,0.0,0.0,0.0
1783437336.5216143,odom,0,0.0,0.0,0.0
1783437336.5622473,cmd,0,0.0,0.0,0.0
1783437336.623745,odom,0,0.0,0.0,0.0
1783437336.6647134,cmd,0,0.0,0.0,0.0
1783437336.7267478,odom,0,0.0,0.0,0.0
1783437336.7637346,cmd,0,0.0,0.0,0.0
1783437336.8220687,odom,0,0.0,0.0,0.0
1783437336.86357,cmd,0,0.0,0.0,0.0
1783437336.9248896,odom,0,0.0,0.0,0.0
1783437336.9649577,cmd,0,0.0,0.0,0.0
1783437337.032841,odom,0,0.0,0.0,0.0
1783437337.0630026,cmd,0,0.0,0.0,0.0
1783437337.1388986,odom,0,0.0,0.0,0.0
1783437337.1625144,cmd,0,0.0,0.0,0.0
1783437337.2325037,odom,0,0.0,0.0,0.0
1783437337.2630584,cmd,0,0.0,0.0,0.0
1783437337.322178,odom,0,0.0,0.0,0.0
1783437337.3643055,cmd,0,0.0,0.0,0.0
1783437337.4251735,odom,0,0.0,0.0,0.0
1783437337.463863,cmd,0,0.0,0.0,0.0
1783437337.5288928,odom,0,0.0,0.0,0.0
1783437337.562874,cmd,0,0.0,0.0,0.0
1783437337.624132,odom,0,0.0,0.0,0.0
1783437337.6640487,cmd,0,0.0,0.0,0.0
1783437337.7317185,odom,0,0.0,0.0,0.0
1783437337.7636588,cmd,0,0.0,0.0,0.0
1783437337.7805712,cmd,0,0.6,0.0,0.0
1783437337.823516,cmd,0,0.0,0.0,0.0
1783437337.8263862,odom,0,0.0,0.0,0.0
1783437337.8617997,cmd,0,0.0,0.0,0.0
1783437337.933225,odom,0,0.0,0.0,0.0
1783437337.9629827,cmd,0,0.0,0.0,0.0
1783437338.0249794,odom,0,0.0,0.0,0.0
1783437338.0634675,cmd,0,0.0,0.0,0.0
1783437338.123001,odom,0,0.0,0.0,0.0
1783437338.1629913,cmd,0,0.0,0.0,0.0
1783437338.2272043,odom,0,0.0,0.0,0.0
1783437338.2632208,cmd,0,0.0,0.0,0.0
1783437338.3249898,odom,0,0.0,0.0,0.0
1783437338.3623884,cmd,0,0.0,0.0,0.0
