recv_time_sec,stamp_sec,stamp_nanosec,pose_x,pose_y,pose_z,orient_x,orient_y,orient_z,orient_w,twist_lin_x,twist_lin_y,twist_lin_z,twist_ang_x,twist_ang_y,twist_ang_z,cov_xx,cov_yy,cov_zz,cov_aa,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw,computed_vx,computed_vy,computed_wz,paired_cmd_vx,paired_cmd_vy,paired_cmd_wz
1783437440.2315984,1783437440,201305150,0.4217275931685389,-0.9620248070810274,-0.03769684650797254,0.005431519731459958,-0.0075416522188671955,0.9644486360359561,0.2641068922304005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6389697612977137,-1.1246685432224635,0.025931924763287616,-0.1103170376922483,0.03338132070106008,0.9576011184034392,0.26403775611745883,0.0,0.0,0.0,0.0,0.0,0.0
1783437440.3353891,1783437440,301409959,0.4208093236419506,-0.9659884476444573,-0.039125409582790226,0.0053924560635220855,-0.007318132443073322,0.9644385371504909,0.2641508554106344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380398999743391,-1.1286225834448786,0.02456744426870929,-0.11035442486483464,0.03360840004030156,0.9575842889029546,0.26405436183806086,0.0,0.0,0.0,0.0,0.0,0.0
1783437440.4873354,1783437440,401461839,0.4222309338085143,-0.9634151636467563,-0.036405108848034266,0.00535364792101773,-0.007486263993706706,0.964447939620945,0.26411260111223084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6394634649914254,-1.1260520741098397,0.027273991364582702,-0.11039424550525281,0.033436897869611695,0.9575903992022582,0.2640373302694959,0.0,0.0,0.0,0.0,0.0,0.0
1783437440.5513716,1783437440,501581907,0.42198848142311085,-0.9649218198642997,-0.03801066076883163,0.005339574936152288,-0.007486342164242167,0.9644221613086815,0.2642069991449747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6391875221923002,-1.1276007819841094,0.025675264093460347,-0.11040422152787668,0.03344813156159984,0.9575629908678225,0.2641311206278655,0.0,0.0,0.0,0.0,0.0,0.0
1783437440.6339197,1783437440,601480722,0.42386425373144737,-0.9637749099395714,-0.034576207461185116,0.005236803799662554,-0.007494198617803629,0.9644124003873424,0.2642444604001472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6410375846740605,-1.1264685273098438,0.029159938070730862,-0.11050468098898619,0.033444721411728495,0.9575407527809929,0.26417015889919054,0.0,0.0,0.0,0.0,0.0,0.0
1783437440.7403848,1783437440,701247930,0.4241639169475879,-0.9631884858360908,-0.03581446857066784,0.005088532723564014,-0.007537722780334927,0.9643881460262319,0.2643346238654621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6412868271323904,-1.1259235518271637,0.02798760994377656,-0.1106480172060236,0.03341218627471907,0.9574988194928565,0.26426625355218014,0.0,0.0,0.0,0.0,0.0,0.0
1783437440.829616,1783437440,801304101,0.4215263574642115,-0.9661867226524412,-0.033492636140857096,0.005067803566393301,-0.007252253932638929,0.9644298310766213,0.2641908838499709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6387052939607156,-1.1288204419911296,0.030377137064565587,-0.11067527520073749,0.033678248905866216,0.9575352834303499,0.2640888865435935,0.0,0.0,0.0,0.0,0.0,0.0
1783437440.9315236,1783437440,901617527,0.4229177711724881,-0.963223696531637,-0.03708844097228333,0.005156392238736144,-0.007468729850941756,0.9644849533649663,0.26398182593897046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6401702403244591,-1.1257934185738654,0.026694120715724072,-0.1105957167079286,0.033438404295798654,0.9576029758492023,0.2639071829427205,0.0,0.0,0.0,0.0,0.0,0.0
1783437441.024876,1783437441,1303672,0.42233208872058303,-0.9634688573448223,-0.035489501972762384,0.005209804338640763,-0.00742537560631365,0.964451775488352,0.2641031891008204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6395520154286665,-1.126089387354765,0.028274372699501706,-0.11053762090885276,0.0334960508774816,0.957576070661089,0.2640218131834815,0.0,0.0,0.0,0.0,0.0,0.0
1783437441.1317835,1783437441,101377487,0.422559751635991,-0.9630539165607456,-0.03369427623863135,0.0053158774145706305,-0.007381500342631548,0.964497675341933,0.2639346304674932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6398511401970923,-1.1255963459961078,0.030025235242850605,-0.11043950711473835,0.03351948404055296,0.957634403044688,0.2638482699642971,0.0,0.0,0.0,0.0,0.0,0.0
1783437441.224207,1783437441,201350927,0.42325654438895194,-0.9641390922504842,-0.03724924537417085,0.0051384883267790015,-0.007315094415575278,0.9644798596440556,0.2640050864517379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6405044936408337,-1.1266993383056794,0.02657285112325028,-0.11061282363644301,0.033593660877802314,0.9575943445573893,0.26391161487836073,0.0,0.0,0.0,0.0,0.0,0.0
1783437441.3342533,1783437441,301571130,0.42259836985422705,-0.9623595056903995,-0.035882906548387127,0.0053187051610222085,-0.007373215949897044,0.9644649799641788,0.2640542548126478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6398502211145751,-1.1249548198127424,0.027836493969887972,-0.11043164944557618,0.03354206212260582,0.9576020971425244,0.26396591525712554,0.0,0.0,0.0,0.0,0.0,0.0
1783437441.429213,1783437441,401396274,0.42184201456479925,-0.9628956678173243,-0.03720202635644483,0.0054687938700162895,-0.0072667885291125235,0.9644446939720784,0.2641282233067578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639091569451785,-1.1255155219134785,0.026462555697881876,-0.11027967401064405,0.033656723318451535,0.9575993136864966,0.26402494750065153,0.0,0.0,0.0,0.0,0.0,0.0
1783437441.5324426,1783437441,501493215,0.4254154497631849,-0.9633356932822021,-0.035861678349805214,0.005120202240966431,-0.007306295288178948,0.964418621140521,0.2642293034006445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6425860773478296,-1.1259951558680055,0.027970780468489033,-0.1106215016441891,0.0336292767873492,0.9575310082123712,0.2641331547317457,0.0,0.0,0.0,0.0,0.0,0.0
1783437441.6309924,1783437441,601695537,0.424897193578444,-0.9660193595791391,-0.03868980484000109,0.005329145921348798,-0.0073612302610917115,0.9644551818548335,0.26409016393298745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6421387132942936,-1.1286296476071547,0.025026608995006167,-0.11041978368287725,0.03355827732872095,0.9575935058755876,0.26399998276336356,0.0,0.0,0.0,0.0,0.0,0.0
1783437441.7373333,1783437441,701412916,0.42168522169228223,-0.9649919195829539,-0.036653799965629764,0.005302095433155518,-0.0075332048118058334,0.9644625781476391,0.26405884564257687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6389276922516137,-1.1276089569828598,0.027042143276900542,-0.11044762443386345,0.03338380528474823,0.9575990907758724,0.26399019895982706,0.0,0.0,0.0,0.0,0.0,0.0
1783437441.8323135,1783437441,801471710,0.42333436362754795,-0.9629535681270643,-0.03792152198354447,0.005297157953123173,-0.0075781095898693526,0.964455199261708,0.26408460952831536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640565941595089,-1.1255877081561678,0.025767904797720453,-0.11045134445766697,0.033342322903161775,0.9575915324589442,0.2640213002275499,0.0,0.0,0.0,0.0,0.0,0.0
1783437441.93636,1783437441,901488780,0.4228155266495532,-0.9646004006795791,-0.036440321116391484,0.005038662651426649,-0.007440777059336771,0.9644011920250203,0.2642907254070003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399504559974201,-1.1273019327138325,0.027406362304156363,-0.1106996013022673,0.03350308677939651,0.9575048528140875,0.26421127584803045,0.0,0.0,0.0,0.0,0.0,0.0
1783437442.0332994,1783437442,1475334,0.422502173884552,-0.9619435475136494,-0.03766391621725943,0.0051673271805624,-0.007494543580126105,0.9644424783706069,0.2641360188628126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6397032661775441,-1.124586256748956,0.0261075483443347,-0.11057827303947386,0.03343129568087387,0.9575622205548394,0.26406322683552647,0.0,0.0,0.0,0.0,0.0,0.0
1783437442.129625,1783437442,101386785,0.4218392202126339,-0.9649053713960543,-0.03747181567963501,0.004948247617030247,-0.007577330908997766,0.9644164925537333,0.2642327152193138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.638977416523055,-1.1275952325717675,0.02639349436176544,-0.11079156988229559,0.03336050126498673,0.9575102418946728,0.26417123549919336,0.0,0.0,0.0,0.0,0.0,0.0
1783437442.223307,1783437442,201500415,0.42261112778909354,-0.9614719507903117,-0.038222833875336926,0.0052054282747926416,-0.007611644065017692,0.9644194983107545,0.2642158164628611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6397859362629442,-1.1241665170596402,0.02550585451365596,-0.11053681339841881,0.03332468624232354,0.9575450268375028,0.2641563925960151,0.0,0.0,0.0,0.0,0.0,0.0
1783437442.3293524,1783437442,301527500,0.4203035973081546,-0.9676568653090613,-0.03573209014445088,0.0049650465476383555,-0.00750495496858129,0.9643616617294064,0.2644345086220736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6373786394826708,-1.1304288866044998,0.02813856196846686,-0.11076648017766376,0.03345656361036487,0.9574570213433683,0.26436243587303004,0.0,0.0,0.0,0.0,0.0,0.0
1783437442.4283938,1783437442,401483535,0.4242824718476346,-0.9624031130368876,-0.03780177382201475,0.005215294049283371,-0.007501434343471446,0.9643603311244221,0.2644346439942488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6413888912382285,-1.1251825335228294,0.025943249345731632,-0.11051796423366395,0.033460335473472214,0.9574863007642394,0.2643599239303526,0.0,0.0,0.0,0.0,0.0,0.0
1783437442.5313344,1783437442,501557111,0.4211629744225626,-0.9656339417255636,-0.037568300482776464,0.005247476589981801,-0.007466134334191412,0.9644453217270519,0.26412486105314875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6383788550920997,-1.128270535610206,0.0261683810088058,-0.11049920727963325,0.03345823701239782,0.9575746138563053,0.2640479700064804,0.0,0.0,0.0,0.0,0.0,0.0
1783437442.6373675,1783437442,601362228,0.4229463928704079,-0.9615835358911953,-0.03891143487538873,0.0050082350548654436,-0.007607929230641397,0.9643446802573845,0.2644926741022133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6400035570604612,-1.1243960583268027,0.024916733396363244,-0.11072091262274071,0.03336138436986354,0.9574463022166755,0.2644323654784494,0.0,0.0,0.0,0.0,0.0,0.0
1783437442.7315001,1783437442,701333284,0.4221317427978947,-0.9647973721626792,-0.04081172779249632,0.005030617998686249,-0.0076052250348049655,0.9643891773060883,0.26433003637424063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6392465176729332,-1.12753709350048,0.023006159064217303,-0.11070558727878838,0.03334457871808608,0.9574933561782378,0.26427047676557835,0.0,0.0,0.0,0.0,0.0,0.0
1783437442.8270943,1783437442,801315546,0.4224051593012179,-0.9634506403887727,-0.03965425734078081,0.004876813582278596,-0.007469280043671155,0.9643248159611142,0.2645714948109038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6394243448534589,-1.1262770177060946,0.02426764035444661,-0.11084836309807722,0.03350831424076674,0.9574091889792218,0.26449476012459605,0.0,0.0,0.0,0.0,0.0,0.0
1783437442.9294024,1783437442,901375532,0.42131672707729095,-0.9655555768096784,-0.038400048772684554,0.004937420407226115,-0.007386008342581203,0.9644184882714956,0.2642310508638393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6384610208908933,-1.1282201937460044,0.02550881692019346,-0.11080278300910476,0.033550179616962106,0.9575092064476443,0.26414626306860656,0.0,0.0,0.0,0.0,0.0,0.0
