recv_time_sec,source,session,vx,vy,wz
1783437589.3020391,odom,0,0.0,0.0,0.0
1783437589.3037496,odom,0,0.0,0.0,0.0
1783437589.3049574,odom,0,0.0,0.0,0.0
1783437589.305843,odom,0,0.0,0.0,0.0
1783437589.306543,odom,0,0.0,0.0,0.0
1783437589.3072994,odom,0,0.0,0.0,0.0
1783437589.3077536,odom,0,0.0,0.0,0.0
1783437589.3082178,odom,0,0.0,0.0,0.0
1783437589.3086655,odom,0,0.0,0.0,0.0
1783437589.3093224,odom,0,0.0,0.0,0.0
1783437589.3250537,odom,0,0.0,0.0,0.0
1783437589.4225636,odom,0,0.0,0.0,0.0
1783437589.5294333,odom,0,0.0,0.0,0.0
1783437589.6260328,odom,0,0.0,0.0,0.0
1783437589.7330189,odom,0,0.0,0.0,0.0
1783437589.8300178,odom,0,0.0,0.0,0.0
1783437589.9320793,odom,0,0.0,0.0,0.0
1783437590.026666,odom,0,0.0,0.0,0.0
1783437590.125597,odom,0,0.0,0.0,0.0
1783437590.22404,odom,0,0.0,0.0,0.0
1783437590.3282256,odom,0,0.0,0.0,0.0
1783437590.4286146,odom,0,0.0,0.0,0.0
1783437590.5277452,odom,0,0.0,0.0,0.0
1783437590.6289473,odom,0,0.0,0.0,0.0
1783437590.7448184,odom,0,0.0,0.0,0.0
1783437590.825908,odom,0,0.0,0.0,0.0
1783437590.92848,odom,0,0.0,0.0,0.0
1783437591.0272737,odom,0,0.0,0.0,0.0
1783437591.1307106,odom,0,0.0,0.0,0.0
1783437591.234617,odom,0,0.0,0.0,0.0
1783437591.325376,odom,0,0.0,0.0,0.0
1783437591.4276276,odom,0,0.0,0.0,0.0
1783437591.5281315,odom,0,0.0,0.0,0.0
1783437591.6353006,odom,0,0.0,0.0,0.0
1783437591.7269683,odom,0,0.0,0.0,0.0
1783437591.8270204,odom,0,0.0,0.0,0.0
1783437591.9286695,odom,0,0.0,0.0,0.0
1783437592.032137,odom,0,0.0,0.0,0.0
1783437592.1259317,odom,0,0.0,0.0,0.0
1783437592.2290535,odom,0,0.0,0.0,0.0
1783437592.3305137,odom,0,0.0,0.0,0.0
1783437592.4269903,odom,0,0.0,0.0,0.0
1783437592.5237536,odom,0,0.0,0.0,0.0
1783437592.6229913,odom,0,0.0,0.0,0.0
1783437592.7356355,odom,0,0.0,0.0,0.0
1783437592.8326263,odom,0,0.0,0.0,0.0
1783437592.9275792,odom,0,0.0,0.0,0.0
1783437593.027629,odom,0,0.0,0.0,0.0
1783437593.1265028,odom,0,0.0,0.0,0.0
1783437593.2242143,odom,0,0.0,0.0,0.0
1783437593.3250737,odom,0,0.0,0.0,0.0
1783437593.4238462,odom,0,0.0,0.0,0.0
1783437593.528221,odom,0,0.0,0.0,0.0
1783437593.6269305,odom,0,0.0,0.0,0.0
1783437593.7251527,odom,0,0.0,0.0,0.0
1783437593.828405,odom,0,0.0,0.0,0.0
1783437593.9300928,odom,0,0.0,0.0,0.0
1783437594.02519,odom,0,0.0,0.0,0.0
1783437594.1245747,odom,0,0.0,0.0,0.0
1783437594.2225368,odom,0,0.0,0.0,0.0
1783437594.3255742,odom,0,0.0,0.0,0.0
1783437594.4278502,odom,0,0.0,0.0,0.0
1783437594.5264382,odom,0,0.0,0.0,0.0
1783437594.6250238,odom,0,0.0,0.0,0.0
1783437594.7298524,odom,0,0.0,0.0,0.0
1783437594.8391254,odom,0,0.0,0.0,0.0
1783437594.9234207,odom,0,0.0,0.0,0.0
1783437595.028019,odom,0,0.0,0.0,0.0
1783437595.1270235,odom,0,0.0,0.0,0.0
1783437595.22617,odom,0,0.0,0.0,0.0
1783437595.331614,odom,0,0.0,0.0,0.0
1783437595.4259512,odom,0,0.0,0.0,0.0
1783437595.5307777,odom,0,0.0,0.0,0.0
1783437595.6281154,odom,0,0.0,0.0,0.0
1783437595.7223089,odom,0,0.0,0.0,0.0
1783437595.8257134,odom,0,0.0,0.0,0.0
1783437595.9263027,odom,0,0.0,0.0,0.0
1783437596.0299459,odom,0,0.0,0.0,0.0
1783437596.1246188,odom,0,0.0,0.0,0.0
1783437596.2261899,odom,0,0.0,0.0,0.0
