recv_time_sec,source,session,vx,vy,wz
1783437440.2315984,odom,0,0.0,0.0,0.0
1783437440.3353891,odom,0,0.0,0.0,0.0
1783437440.4873354,odom,0,0.0,0.0,0.0
1783437440.5513716,odom,0,0.0,0.0,0.0
1783437440.6339197,odom,0,0.0,0.0,0.0
1783437440.7403848,odom,0,0.0,0.0,0.0
1783437440.829616,odom,0,0.0,0.0,0.0
1783437440.9315236,odom,0,0.0,0.0,0.0
1783437441.024876,odom,0,0.0,0.0,0.0
1783437441.1317835,odom,0,0.0,0.0,0.0
1783437441.224207,odom,0,0.0,0.0,0.0
1783437441.3342533,odom,0,0.0,0.0,0.0
1783437441.429213,odom,0,0.0,0.0,0.0
1783437441.5324426,odom,0,0.0,0.0,0.0
1783437441.6309924,odom,0,0.0,0.0,0.0
1783437441.7373333,odom,0,0.0,0.0,0.0
1783437441.8323135,odom,0,0.0,0.0,0.0
1783437441.93636,odom,0,0.0,0.0,0.0
1783437442.0332994,odom,0,0.0,0.0,0.0
1783437442.129625,odom,0,0.0,0.0,0.0
1783437442.223307,odom,0,0.0,0.0,0.0
1783437442.3293524,odom,0,0.0,0.0,0.0
1783437442.4283938,odom,0,0.0,0.0,0.0
1783437442.5313344,odom,0,0.0,0.0,0.0
1783437442.6373675,odom,0,0.0,0.0,0.0
1783437442.7315001,odom,0,0.0,0.0,0.0
1783437442.8270943,odom,0,0.0,0.0,0.0
1783437442.9294024,odom,0,0.0,0.0,0.0
1783437443.0239127,odom,0,0.0,0.0,0.0
1783437443.1363194,odom,0,0.0,0.0,0.0
1783437443.2282012,odom,0,0.0,0.0,0.0
1783437443.3282635,odom,0,0.0,0.0,0.0
1783437443.4278462,odom,0,0.0,0.0,0.0
1783437443.5362647,odom,0,0.0,0.0,0.0
1783437443.6392255,odom,0,0.0,0.0,0.0
1783437443.7407675,odom,0,0.0,0.0,0.0
1783437443.8283668,odom,0,0.0,0.0,0.0
1783437443.932535,odom,0,0.0,0.0,0.0
1783437444.0346956,odom,0,0.0,0.0,0.0
1783437444.129318,odom,0,0.0,0.0,0.0
1783437444.1519082,cmd,0,0.0,0.0,0.0
1783437444.223845,odom,0,0.0,0.0,0.0
1783437444.2491353,cmd,0,0.0,0.0,0.0
1783437444.3257525,odom,0,0.0,0.0,0.0
1783437444.3493032,cmd,0,0.0,0.0,0.0
1783437444.4252157,odom,0,0.0,0.0,0.0
1783437444.44908,cmd,0,0.0,0.0,0.0
1783437444.5233884,odom,0,0.0,0.0,0.0
1783437444.5524302,cmd,0,0.0,0.0,0.0
1783437444.623744,odom,0,0.0,0.0,0.0
1783437444.6490448,cmd,0,0.0,0.0,0.0
1783437444.7255394,odom,0,0.0,0.0,0.0
1783437444.7493281,cmd,0,0.0,0.0,0.0
1783437444.8298175,odom,0,0.0,0.0,0.0
1783437444.850827,cmd,0,0.0,0.0,0.0
1783437444.928299,odom,0,0.0,0.0,0.0
1783437444.9341984,cmd,0,0.6,0.0,0.0
1783437444.9505436,cmd,0,0.6,0.0,0.0
1783437445.028477,odom,0,0.0,0.0,0.0
1783437445.0400572,cmd,0,0.0,0.0,0.0
1783437445.0490298,cmd,0,0.0,0.0,0.0
1783437445.1276789,odom,0,0.0,0.0,0.0
1783437445.1491733,cmd,0,0.0,0.0,0.0
1783437445.228385,odom,0,0.0,0.0,0.0
1783437445.2490253,cmd,0,0.0,0.0,0.0
1783437445.3236873,odom,0,0.0,0.0,0.0
1783437445.349044,cmd,0,0.0,0.0,0.0
1783437445.4227054,odom,0,0.0,0.0,0.0
1783437445.4493597,cmd,0,0.0,0.0,0.0
1783437445.5282931,odom,0,0.0,0.0,0.0
1783437445.5507827,cmd,0,0.0,0.0,0.0
1783437445.6254642,odom,0,0.0,0.0,0.0
1783437445.6500683,cmd,0,0.0,0.0,0.0
1783437445.7278967,odom,0,0.0,0.0,0.0
1783437445.7508857,cmd,0,0.0,0.0,0.0
1783437445.832209,odom,0,0.0,0.0,0.0
1783437445.8492253,cmd,0,0.0,0.0,0.0
1783437445.9275053,odom,0,0.0,0.0,0.0
1783437445.9326096,cmd,0,-0.6,0.0,0.0
1783437445.9505954,cmd,0,-0.6,0.0,0.0
1783437446.0194418,cmd,0,0.0,0.0,0.0
1783437446.026185,odom,0,0.0,0.0,0.0
1783437446.0495355,cmd,0,0.0,0.0,0.0
1783437446.1227846,odom,0,0.0,0.0,0.0
1783437446.149131,cmd,0,0.0,0.0,0.0
1783437446.2221463,odom,0,0.0,0.0,0.0
1783437446.249766,cmd,0,0.0,0.0,0.0
1783437446.3313918,odom,0,0.0,0.0,0.0
1783437446.3490703,cmd,0,0.0,0.0,0.0
1783437446.4247613,odom,0,0.0,0.0,0.0
1783437446.4505272,cmd,0,0.0,0.0,0.0
1783437446.5276816,odom,0,0.0,0.0,0.0
1783437446.5510356,cmd,0,0.0,0.0,0.0
1783437446.62744,odom,0,0.0,0.0,0.0
1783437446.6518998,cmd,0,0.0,0.0,0.0
1783437446.7313356,odom,0,0.0,0.0,0.0
1783437446.7505283,cmd,0,0.0,0.0,0.0
1783437446.8246408,odom,0,0.0,0.0,0.0
1783437446.8491285,cmd,0,0.0,0.0,0.0
1783437446.9225414,odom,0,0.0,0.0,0.0
1783437446.9498258,cmd,0,0.0,0.0,0.0
1783437447.0134656,cmd,0,0.6,0.0,0.0
1783437447.0240483,odom,0,0.0,0.0,0.0
1783437447.0503614,cmd,0,0.6,0.0,0.0
1783437447.1515281,cmd,0,0.6,0.0,0.0
1783437447.1529276,odom,0,0.0,0.0,0.0
1783437447.2258632,odom,0,0.0,0.0,0.0
1783437447.237841,cmd,0,0.0,0.0,0.0
1783437447.2503154,cmd,0,0.0,0.0,0.0
